函数编号,平均调用频率,最大调用量,最小调用量,标准差,变异系数（CV）,峰度,偏度,ACF_滞后1,ACF_滞后2,ACF_滞后3,ACF_滞后4,ACF_滞后5,ACF_滞后6,PACF_滞后1,PACF_滞后2,PACF_滞后3,PACF_滞后4,PACF_滞后5,PACF_滞后6,FFT_频率1,FFT_频率2,FFT_频率3,FFT_频率4,FFT_频率5,FFT_频率6,FFT_频率7,FFT_幅度1,FFT_幅度2,FFT_幅度3,FFT_幅度4,FFT_幅度5,FFT_幅度6,FFT_幅度7,FFT_幅度8,FFT_幅度9,滑动均值1,滑动均值2,滑动均值3,滑动标准差1,滑动标准差2,滑动标准差3,峰值比率（Peak Ratio）,突发指数（Burstiness Index）,周期性强度（Periodicity Strength）,函数类型
53,58049.4,75700,51196,2973.89,0.05,6.9,1.53,1.0,0.1963023,-0.12888146,-0.17855408,0.17313517,0.34801886,1.0,0.19643871,-0.1743778,-0.12325855,0.23575439,0.25297174,10.0,0.0,0.00069444,0.00138889,0.00208333,0.00277778,0.00347222,10.0,8.3591132,7.0,8.61546008,5.0,9.00836347,4.0,1.53582459,5.0,5.0,1.0,69730.0,5.0,1.0,0.0,1.3,0.05,1248.98,"平稳型, 周期型"
dd,33991.54,56117,18689,3048.33,0.09,4.84,0.26,1.0,0.24294515,0.11012608,0.07162896,0.07155668,0.01408589,1.0,0.24311398,0.05438949,0.03539389,0.04449335,-0.02019481,10.0,0.0,0.00069444,0.00138889,0.00208333,0.00277778,0.00347222,10.0,48947822.0,146778.73773368,285063.82567699,210905.50466711,,,,,5.0,1.0,26268.0,5.0,1.0,0.0,1.65,0.09,361.75,"平稳型, 周期型"
f8,8650.63,33075,281,7988.69,0.92,0.17,1.03,1.0,0.98792269,0.98346403,0.98012005,0.97642628,0.97339881,1.0,0.98860923,0.33037761,0.17831299,0.0727151,0.06625124,10.0,0.0,0.00069444,0.00138889,0.00208333,0.00277778,0.00347222,10.0,12456908.0,6754958.26705221,3115263.58047281,1870909.74405812,,,,,5.0,1.0,6151.0,5.0,1.0,0.0,3.82,0.92,1370.81,"周期型, 突发型"
56,6608.07,8124,197,1630.47,0.25,3.33,-1.98,1.0,0.3468146,0.13188145,0.10171076,0.13920727,0.18136554,1.0,0.34705561,0.01320817,0.05925713,0.09715647,0.11358337,10.0,0.0,0.00069444,0.00138889,0.00208333,0.00277778,0.00347222,10.0,9515623.0,206583.69659433,271224.54561577,170950.97510858,,,,,5.0,1.0,7316.0,5.0,1.0,0.0,1.23,0.25,519.93,"周期型, 突发型"
66,49987.13,151835,1,41296.39,0.83,-1.2,0.3,1.0,0.85668677,0.63512501,0.40026475,0.17970698,0.02511642,1.0,0.85728211,-0.37320418,-0.12133445,-0.10357022,0.07577241,10.0,0.0,0.00069444,0.00138889,0.00208333,0.00277778,0.00347222,10.0,12146873.0,114059.35953212,119697.39011677,123887.77429314,,,,,5.0,1.0,0.0,5.0,1.0,0.0,18.0,2.99,1117.77,"周期型, 突发型"
4f,9501.47,11299,7936,513.77,0.05,0.49,0.4,1.0,0.64686512,0.55553705,0.50184497,0.48365034,0.67385277,1.0,0.64731464,0.23631205,0.1365712,0.1306233,0.4913718,10.0,0.0,0.00069444,0.00138889,0.00208333,0.00277778,0.00347222,10.0,13682122.0,276450.20342179,161873.86608006,126289.90566159,,,,,5.0,1.0,9290.0,5.0,1.0,0.0,1.19,0.05,1146.13,"平稳型, 周期型"
04,11351.75,14027,6019,630.09,0.06,5.6,-0.56,1.0,0.47700448,0.29155966,0.23515067,0.24056186,0.50831158,1.0,0.47733596,0.08303504,0.08895457,0.11106716,0.44503689,10.0,0.0,0.00069444,0.00138889,0.00208333,0.00277778,0.00347222,10.0,16346524.0,265613.92688835,125034.82879048,62746.79412349,,,,,5.0,1.0,10950.0,5.0,1.0,0.0,1.24,0.06,879.37,"平稳型, 周期型"
82,88522.0,111263,59414,6103.15,0.07,0.1,-0.7,1.0,0.79220379,0.78283209,0.77293124,0.76249067,0.74491849,1.0,0.79275432,0.4184239,0.26562926,0.17908493,0.09823771,10.0,0.0,0.00069444,0.00138889,0.00208333,0.00277778,0.00347222,10.0,1.27471685,8.0,4.84443576,6.0,1.33209814,6.0,2.38837768,5.0,5.0,1.0,82799.0,5.0,1.0,0.0,1.26,0.07,1077.44,"平稳型, 周期型"
93,16674.94,25613,4446,2071.16,0.12,3.28,0.02,1.0,0.68448724,0.59069163,0.549745,0.51081661,0.45831034,1.0,0.68496291,0.23046916,0.16163609,0.09344571,0.02397608,10.0,0.0,0.00069444,0.00138889,0.00208333,0.00277778,0.00347222,10.0,2.4011909,7.0,8.8277192,5.0,6.8471415,4.0,2.00302618,5.0,5.0,1.0,15579.0,5.0,1.0,0.0,1.54,0.12,869.7,"周期型, 突发型"
06,15299.18,22998,4008,1785.58,0.12,3.78,-0.18,1.0,0.65360467,0.5548472,0.51565019,0.48125227,0.42784618,1.0,0.65405888,0.22339098,0.16258629,0.10262023,0.02659611,10.0,0.0,0.00069444,0.00138889,0.00208333,0.00277778,0.00347222,10.0,2.203082,7.0,7.25841264,5.0,3.8761033,4.0,1.43065438,5.0,5.0,1.0,14350.0,5.0,1.0,0.0,1.5,0.12,849.43,"周期型, 突发型"
