hw_sg, hw_of, hw_ow, hw_sfs, wr_sg, wr_of, wr_ow, wr_sfs
19,22,20,22,19,20,23,48
20,23,36,51,19,35,24,50
21,33,37,53,20,35,46,52
22,40,44,60,20,40,50,58
23,46,44,67,21,55,50,61
23,47,45,69,21,73,50,63
23,47,46,70,22,78,61,76
23,48,48,73,22,78,62,77
24,49,48,73,22,80,66,78
24,50,49,74,22,83,70,89
24,50,49,75,22,84,77,89
24,52,50,79,22,86,79,89
24,54,53,79,23,87,79,90
24,55,54,83,23,87,79,91
24,60,62,84,23,88,79,93
24,62,64,84,23,88,80,93
25,63,66,85,24,88,87,94
26,68,74,85,24,88,94,94
26,68,78,86,24,89,96,97
26,68,81,87,25,89,96,97
26,69,82,88,26,90,96,97
27,70,84,89,26,91,96,98
28,71,85,89,26,91,97,100
29,72,86,89,26,92,98,100
29,72,87,90,27,93,99,100
29,74,87,90,28,94,100,101
29,75,88,92,28,96,101,102
29,75,90,92,28,96,101,102
29,76,93,92,28,96,101,102
30,76,93,93,28,97,102,102
30,76,93,94,28,97,102,103
30,77,93,94,29,98,102,103
30,78,94,94,29,100,103,103
30,78,94,94,29,100,104,103
30,78,94,94,31,100,104,103
30,78,94,94,31,103,104,104
31,80,95,95,31,104,105,104
31,81,95,96,32,104,105,104
31,81,96,96,32,105,105,107
32,82,96,96,32,107,105,108
33,83,96,96,33,107,106,109
33,84,96,96,33,107,106,109
34,84,97,96,34,107,106,110
34,84,97,97,35,107,107,110
35,85,97,97,35,108,108,110
35,85,98,97,35,108,108,111
35,85,98,97,35,109,108,111
35,86,98,98,35,109,109,113
35,86,99,98,36,110,109,113
35,86,99,98,36,110,111,113
36,86,99,99,37,110,111,113
36,86,100,99,37,111,111,113
37,87,100,99,37,113,112,114
37,87,100,99,37,113,112,114
37,88,100,99,37,114,113,114
38,89,100,100,38,114,113,115
38,90,100,100,38,115,113,116
38,90,101,101,38,115,113,117
38,93,101,101,38,115,114,117
38,93,101,101,38,116,114,118
39,93,101,101,39,117,114,118
39,93,101,101,40,117,114,120
39,94,101,101,40,117,114,121
40,94,101,102,40,117,116,121
40,95,102,102,40,118,116,122
40,95,102,102,40,118,117,122
40,95,103,102,40,118,117,124
40,96,103,102,41,119,117,124
41,98,103,102,41,119,117,125
41,98,103,102,41,119,117,125
42,99,104,103,41,121,118,126
42,99,104,103,43,121,118,126
42,100,104,103,44,122,119,126
42,100,104,103,45,122,119,127
42,100,104,103,45,122,119,127
42,100,104,104,45,123,120,127
42,101,104,104,45,123,120,129
43,101,104,104,45,124,120,129
43,101,104,104,46,124,120,130
43,102,104,104,47,125,121,131
43,102,104,104,47,125,121,131
43,102,105,104,49,127,123,131
44,103,105,104,49,127,123,131
44,103,105,104,50,127,123,133
44,103,105,105,50,128,124,133
44,104,105,105,50,130,124,133
45,104,105,105,50,130,126,133
45,104,105,106,51,130,126,134
45,104,106,106,52,131,127,134
46,104,106,106,52,131,128,134
47,105,106,106,53,132,129,135
47,106,106,106,53,132,129,135
48,106,106,106,54,133,130,135
49,106,106,106,54,133,130,135
50,106,106,107,55,133,130,135
50,107,107,107,56,134,131,135
50,107,107,107,57,134,131,136
50,107,107,107,57,134,131,136
50,107,107,107,58,134,132,136
50,108,107,107,58,134,132,136
51,108,107,108,58,134,133,137
51,110,107,108,61,134,133,137
52,110,108,108,61,136,133,138
52,111,108,108,61,137,133,138
52,111,108,108,61,138,133,138
53,115,108,109,62,140,134,139
53,116,108,109,62,140,135,139
53,116,109,109,63,141,135,140
54,117,109,109,63,141,135,140
54,117,109,109,64,141,136,140
54,118,109,109,64,142,136,140
55,118,109,110,64,143,137,141
55,118,109,110,66,143,140,142
55,118,109,110,66,146,140,142
55,118,109,110,66,149,140,144
55,119,109,110,66,149,140,145
56,119,109,110,67,150,141,145
56,119,110,110,68,150,142,145
56,119,110,110,68,150,142,145
56,120,110,110,69,153,143,146
56,120,110,110,69,155,144,146
57,120,110,111,70,155,146,147
57,120,110,111,70,157,146,147
57,121,110,111,71,159,146,148
57,123,110,111,71,159,146,148
58,125,110,111,72,162,148,149
58,125,110,111,72,164,148,149
58,125,111,111,74,165,148,150
58,125,111,111,76,166,150,151
58,127,111,111,77,167,150,152
58,127,111,111,77,167,151,152
58,129,111,111,78,167,151,152
59,131,111,111,79,168,152,152
59,131,111,112,80,169,152,152
59,131,111,112,80,169,152,152
59,131,111,112,80,169,152,153
60,132,111,112,80,169,152,153
60,132,112,113,82,171,153,154
60,132,112,113,84,171,153,154
60,133,112,113,85,172,153,155
60,133,112,113,85,172,154,156
60,134,112,113,85,173,154,156
61,134,112,113,85,173,155,159
61,135,113,113,88,173,155,160
61,135,113,113,88,175,155,160
63,135,113,113,89,175,156,160
63,136,113,113,90,175,157,160
64,137,114,114,90,176,158,161
64,137,114,114,91,176,159,161
64,137,114,114,91,178,159,161
65,137,115,114,92,179,159,161
66,137,115,114,93,180,159,161
66,138,115,114,94,181,160,162
66,138,115,115,96,182,160,163
66,138,116,115,97,182,160,163
67,139,116,115,98,182,160,163
67,139,116,115,98,183,161,163
68,139,116,115,98,183,161,164
68,139,116,115,98,183,161,164
68,140,116,115,99,184,161,165
68,140,116,116,100,184,161,165
68,141,116,116,101,185,162,165
69,141,117,116,101,186,162,166
69,141,117,116,103,186,162,167
70,141,117,116,104,187,162,167
70,141,117,116,105,187,162,168
71,142,117,116,106,187,163,168
71,143,117,116,108,190,163,168
71,144,117,116,108,192,163,168
72,144,117,116,109,192,163,169
72,144,117,116,109,194,163,169
73,145,117,117,110,194,164,169
73,145,117,117,113,195,164,169
73,145,118,117,114,195,164,170
73,145,118,117,114,196,164,170
73,145,118,117,116,197,165,171
73,146,118,117,117,197,165,171
74,146,118,117,118,200,165,171
74,146,118,117,118,200,166,171
74,147,118,118,120,200,166,172
74,147,118,118,120,201,167,174
75,147,118,118,120,202,167,175
75,148,119,118,121,202,168,176
75,148,119,118,121,203,169,177
76,148,119,118,122,204,170,178
76,148,119,119,123,204,171,180
76,149,119,119,123,204,171,181
77,149,119,119,124,204,171,181
77,149,119,119,124,206,174,181
77,149,119,120,125,207,174,184
78,149,119,120,125,207,174,187
79,150,119,120,126,207,174,187
79,150,120,120,127,207,174,187
80,151,120,120,129,208,176,188
80,151,120,120,129,208,178,188
80,152,120,121,129,208,178,188
81,152,121,121,130,209,179,188
81,152,121,121,131,209,179,192
82,153,121,121,131,212,179,193
82,153,121,121,131,213,182,193
82,153,121,121,131,214,182,195
82,153,121,121,131,214,183,199
84,154,121,121,134,216,183,200
84,154,122,122,135,217,184,201
85,155,122,122,136,218,184,201
85,155,122,122,137,218,185,201
85,155,122,122,138,222,185,203
85,155,122,122,139,223,186,203
86,156,122,122,139,224,186,204
86,156,122,122,141,226,186,205
87,157,122,123,141,228,187,205
87,157,122,123,142,231,187,205
88,158,123,123,143,231,188,206
89,158,123,123,143,232,188,206
89,158,123,123,145,234,190,210
89,158,124,123,145,234,190,211
89,159,124,123,146,235,190,214
89,159,124,123,147,237,192,215
90,159,124,124,147,237,193,217
90,159,124,124,148,237,193,217
90,159,124,124,149,238,194,218
91,159,125,124,150,239,194,218
91,159,125,124,150,240,196,219
91,160,126,124,150,240,197,222
91,160,126,124,153,245,198,224
91,160,126,124,154,246,202,226
92,160,127,124,154,246,205,227
93,161,127,125,154,247,209,230
93,161,127,125,156,248,214,235
94,161,127,125,156,251,217,237
95,161,127,125,156,253,224,239
95,161,128,125,156,253,233,239
95,162,128,125,157,254,234,240
96,162,128,125,157,254,235,242
96,162,128,125,157,254,235,242
97,163,128,125,158,255,235,242
97,163,128,125,158,255,235,243
97,164,129,125,159,257,239,244
98,164,130,125,159,257,243,248
99,164,130,126,160,257,246,252
100,164,130,126,163,258,249,252
100,164,130,126,163,259,254,262
100,165,130,126,163,259,264,270
101,165,130,126,163,260,267,272
102,165,130,126,164,261,268,273
102,165,131,126,165,265,268,274
104,165,131,126,166,266,270,274
104,165,131,127,167,272,273,275
104,166,131,127,168,281,275,275
104,166,131,127,168,281,278,279
105,166,132,127,169,283,280,281
105,166,132,127,171,288,281,281
106,166,132,127,172,289,282,283
106,166,132,127,173,289,284,283
107,167,133,127,175,292,284,285
107,167,133,128,176,296,285,290
108,168,133,128,176,297,285,293
109,168,133,128,179,301,285,294
109,168,133,128,180,303,286,295
109,168,134,128,180,305,286,296
110,168,134,128,181,305,287,297
110,168,134,128,182,307,288,298
110,169,135,129,188,309,288,298
110,169,135,129,188,309,288,299
111,169,135,129,196,309,290,300
111,169,135,129,207,310,291,300
111,169,135,129,209,312,292,301
112,169,136,130,209,313,293,303
112,170,136,130,213,314,296,303
113,170,136,130,215,314,296,305
113,170,136,130,216,314,299,306
113,170,136,130,216,314,301,307
113,171,137,131,216,315,302,308
114,171,138,131,217,316,304,309
114,171,138,132,218,317,306,310
115,171,138,132,219,319,306,318
115,172,139,132,220,319,308,320
115,172,139,132,224,321,311,322
116,172,140,133,225,321,320,326
116,172,140,133,225,322,322,331
116,172,140,133,227,322,322,333
116,172,140,134,230,326,323,334
116,173,141,134,230,328,327,335
117,173,141,134,231,328,328,335
117,174,141,134,232,330,330,337
117,175,141,135,236,330,333,339
118,175,141,136,237,332,336,341
119,176,143,137,238,333,336,343
119,176,143,137,240,334,336,344
120,176,143,137,241,337,338,345
121,177,144,137,244,338,338,346
121,178,144,137,244,339,340,346
121,178,145,138,245,339,342,348
121,179,145,138,245,339,342,349
123,180,145,138,247,339,347,350
123,181,145,138,248,340,347,351
123,182,146,140,250,341,350,352
123,182,146,140,256,342,350,353
123,183,146,140,257,343,350,354
124,185,148,141,258,344,350,354
124,185,148,141,260,349,351,356
125,186,149,141,260,351,352,357
126,186,149,141,262,352,353,359
126,186,149,141,264,354,354,360
126,186,150,141,268,356,354,361
127,187,150,141,270,356,354,363
127,187,150,142,274,356,356,364
127,189,150,142,275,357,357,366
127,190,150,143,276,358,359,366
128,190,151,144,276,359,361,369
128,190,151,144,281,359,361,369
128,190,152,145,282,360,361,369
128,191,153,146,287,360,361,372
130,192,154,146,289,363,363,373
130,192,154,146,289,364,366,374
130,193,154,146,291,365,368,375
131,193,155,146,294,365,370,377
