hw_sg, hw_of, hw_ow, hw_sfs, hw_sgf, wr_sg, wr_of, wr_ow, wr_sfs, wr_sgf
45,309,292,184,47,46,672,819,117,47
46,557,304,366,47,46,674,820,240,47
46,563,317,372,47,47,685,820,243,48
47,601,901,397,48,47,693,820,252,48
47,613,901,409,48,47,694,822,282,48
50,637,901,505,48,52,695,822,282,49
61,645,902,508,63,61,697,824,339,63
62,661,902,510,63,62,705,824,413,63
62,677,904,517,64,63,717,824,421,63
63,781,907,566,64,63,721,824,484,64
63,789,908,573,64,63,737,824,484,65
65,792,910,606,64,68,745,825,484,65
77,794,912,703,78,77,753,826,484,79
78,797,914,842,79,77,754,826,484,79
78,805,914,846,79,79,761,827,486,79
79,808,916,849,80,79,765,831,489,80
79,810,916,850,80,79,766,831,520,81
81,813,917,852,80,83,779,831,520,81
93,817,918,853,94,93,779,831,520,95
94,829,918,855,95,93,782,831,520,95
94,833,920,855,95,94,789,831,520,95
95,836,921,858,96,95,797,832,520,96
96,845,922,859,96,95,805,833,520,97
97,849,924,861,96,99,805,833,520,98
109,865,926,862,110,109,807,833,520,110
110,868,926,865,111,109,807,834,520,111
111,871,926,866,111,110,809,835,520,111
111,881,926,866,112,111,810,836,520,112
112,885,927,869,112,111,813,839,520,113
113,888,928,869,113,115,815,839,520,115
125,889,928,870,126,124,816,840,551,127
126,898,930,873,126,125,817,841,565,127
127,899,931,874,127,126,818,843,571,127
127,901,931,878,128,127,819,847,577,127
128,902,933,878,128,128,819,847,578,129
129,903,934,879,129,131,820,847,602,131
141,904,934,879,142,140,821,848,618,143
141,905,935,881,142,141,821,849,630,143
143,905,936,882,143,142,821,850,652,143
144,906,938,882,144,143,823,851,684,143
145,907,939,885,144,143,824,851,700,145
145,908,940,886,145,147,829,851,714,147
157,909,940,887,158,156,829,851,722,158
157,913,942,890,158,156,829,851,726,159
159,913,942,894,159,158,831,852,727,159
160,915,942,897,160,159,831,853,729,159
161,916,944,898,161,160,832,853,733,161
161,917,946,898,162,163,832,855,735,163
173,917,947,901,174,172,833,855,741,174
173,924,947,902,174,172,833,856,743,175
175,924,948,905,175,173,835,859,746,175
176,925,950,905,177,175,835,859,749,175
177,925,950,905,178,176,836,859,751,177
177,926,951,907,179,179,837,861,757,179
189,927,951,908,189,187,839,863,758,190
189,929,952,908,190,188,841,864,759,191
191,929,952,909,191,189,842,864,761,191
192,931,953,909,193,191,843,865,766,191
192,932,953,916,194,192,845,867,769,193
193,932,954,918,198,194,845,867,770,195
205,935,954,921,205,203,847,867,771,206
205,936,958,922,206,204,849,868,778,206
207,937,958,922,207,205,851,869,781,207
208,941,958,923,209,207,853,870,781,207
208,941,959,924,210,208,854,871,785,209
208,942,960,925,216,210,854,871,786,211
220,944,962,925,221,219,855,872,790,222
221,944,962,926,222,220,856,875,793,222
223,945,962,926,223,221,857,875,797,223
224,947,962,927,225,223,857,875,806,223
224,948,963,928,226,224,857,876,809,225
224,948,963,928,232,227,858,876,811,227
236,949,964,928,237,235,859,876,813,237
237,949,966,930,238,236,860,877,814,238
